Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
46442 ,    292.62 K ,    37.6 % ,    96.097 kPa
47448 ,    292.47 K ,    37.8 % ,    96.100 kPa
48454 ,    292.06 K ,    38.2 % ,    96.096 kPa
49461 ,    291.91 K ,    38.5 % ,    96.095 kPa
50467 ,    291.73 K ,    38.7 % ,    96.099 kPa
51474 ,    291.53 K ,    39.0 % ,    96.100 kPa
52480 ,    291.29 K ,    39.3 % ,    96.101 kPa
53486 ,    291.08 K ,    39.6 % ,    96.098 kPa
54493 ,    290.88 K ,    40.0 % ,    96.098 kPa
55499 ,    290.71 K ,    40.3 % ,    96.098 kPa
56506 ,    290.48 K ,    40.6 % ,    96.098 kPa
57511 ,    290.31 K ,    41.0 % ,    96.103 kPa
58518 ,    290.13 K ,    41.3 % ,    96.102 kPa
59525 ,    289.92 K ,    41.7 % ,    96.101 kPa
60531 ,    289.74 K ,    42.1 % ,    96.104 kPa
61538 ,    289.49 K ,    42.6 % ,    96.102 kPa
62543 ,    289.32 K ,    43.0 % ,    96.105 kPa
63550 ,    289.10 K ,    43.5 % ,    96.108 kPa
64557 ,    288.93 K ,    44.0 % ,    96.102 kPa
65563 ,    288.79 K ,    44.4 % ,    96.108 kPa
66570 ,    288.72 K ,    44.8 % ,    96.105 kPa
67575 ,    288.67 K ,    45.1 % ,    96.105 kPa
68582 ,    288.59 K ,    45.4 % ,    96.103 kPa
69588 ,    288.48 K ,    45.8 % ,    96.108 kPa
70595 ,    288.34 K ,    46.1 % ,    96.106 kPa
71602 ,    288.28 K ,    46.5 % ,    96.105 kPa
72607 ,    288.23 K ,    46.8 % ,    96.102 kPa
73614 ,    288.15 K ,    47.1 % ,    96.105 kPa
74620 ,    287.99 K ,    47.4 % ,    96.103 kPa
75627 ,    287.86 K ,    47.8 % ,    96.104 kPa
76634 ,    287.75 K ,    48.2 % ,    96.106 kPa
77639 ,    287.64 K ,    48.6 % ,    96.104 kPa
78646 ,    287.60 K ,    48.9 % ,    96.099 kPa
79652 ,    287.56 K ,    49.1 % ,    96.101 kPa
80659 ,    287.51 K ,    49.4 % ,    96.102 kPa
81666 ,    287.44 K ,    49.7 % ,    96.103 kPa
82671 ,    287.31 K ,    50.1 % ,    96.106 kPa
83678 ,    287.21 K ,    50.5 % ,    96.105 kPa
84684 ,    287.14 K ,    50.6 % ,    96.105 kPa
85691 ,    287.04 K ,    51.4 % ,    96.104 kPa
86697 ,    286.91 K ,    51.8 % ,    96.105 kPa
87703 ,    286.84 K ,    52.1 % ,    96.103 kPa
88710 ,    286.71 K ,    52.5 % ,    96.103 kPa
89716 ,    286.59 K ,    52.9 % ,    96.105 kPa
90723 ,    286.47 K ,    53.3 % ,    96.101 kPa
91729 ,    286.31 K ,    53.7 % ,    96.104 kPa
92735 ,    286.11 K ,    54.3 % ,    96.107 kPa
93742 ,    285.95 K ,    54.9 % ,    96.110 kPa
94748 ,    285.85 K ,    55.4 % ,    96.111 kPa
95755 ,    285.83 K ,    55.8 % ,    96.109 kPa
96761 ,    285.76 K ,    56.1 % ,    96.106 kPa
97767 ,    285.62 K ,    56.6 % ,    96.105 kPa
98774 ,    285.50 K ,    57.2 % ,    96.105 kPa
99780 ,    285.38 K ,    57.8 % ,    96.106 kPa
100787 ,    285.27 K ,    58.4 % ,    96.109 kPa
101793 ,    285.17 K ,    59.0 % ,    96.114 kPa
102800 ,    285.06 K ,    59.5 % ,    96.110 kPa
103805 ,    284.95 K ,    60.0 % ,    96.110 kPa
104812 ,    284.80 K ,    60.6 % ,    96.111 kPa
105819 ,    284.66 K ,    61.3 % ,    96.110 kPa
106825 ,    284.52 K ,    61.9 % ,    96.110 kPa
107832 ,    284.41 K ,    62.5 % ,    96.112 kPa
108838 ,    284.28 K ,    63.1 % ,    96.110 kPa
109845 ,    284.16 K ,    63.7 % ,    96.112 kPa
110851 ,    284.06 K ,    64.3 % ,    96.110 kPa
111857 ,    283.96 K ,    64.8 % ,    96.111 kPa
112864 ,    283.90 K ,    65.2 % ,    96.110 kPa
113870 ,    283.82 K ,    65.6 % ,    96.110 kPa
114877 ,    283.74 K ,    66.1 % ,    96.109 kPa
115884 ,    283.62 K ,    66.5 % ,    96.111 kPa
116890 ,    283.61 K ,    67.0 % ,    96.112 kPa
117896 ,    283.55 K ,    67.4 % ,    96.115 kPa
118902 ,    283.46 K ,    67.8 % ,    96.111 kPa
119909 ,    283.36 K ,    68.3 % ,    96.112 kPa
120915 ,    283.28 K ,    68.7 % ,    96.113 kPa
121922 ,    283.21 K ,    69.2 % ,    96.112 kPa
122929 ,    283.13 K ,    69.5 % ,    96.111 kPa
123935 ,    283.05 K ,    69.9 % ,    96.113 kPa
124941 ,    282.98 K ,    70.4 % ,    96.116 kPa
125947 ,    282.94 K ,    70.8 % ,    96.114 kPa
126954 ,    282.94 K ,    71.1 % ,    96.115 kPa
127961 ,    282.87 K ,    71.4 % ,    96.116 kPa
128967 ,    282.79 K ,    71.8 % ,    96.117 kPa
129974 ,    282.71 K ,    72.2 % ,    96.113 kPa
130980 ,    282.66 K ,    72.6 % ,    96.112 kPa
131986 ,    282.62 K ,    72.9 % ,    96.112 kPa
132993 ,    282.54 K ,    73.3 % ,    96.111 kPa
133999 ,    282.50 K ,    73.5 % ,    96.112 kPa
135006 ,    282.47 K ,    73.8 % ,    96.110 kPa
136012 ,    282.47 K ,    74.0 % ,    96.111 kPa
